"Time t (s)","Current I (mA)","Magnetic field strength B (µT)","Background Temperature T (°C)"
2,4875,3862,24
8,4872,3861,24
20,4868,3860,24
34,4863,3859,24
45,4859,3858,24
70,4855,3857,24
75,4855,3859,24
80,4854,3859,24
