Time t (s),Current I (mA),Magnetic field strength B (µT),Background Temperature T (°C)
1,5006,4976,24
8,5002,4975,24
16,4999,4974,24
24,4995,4973,24
33,4991,4972,24
43,4987,4971,24
59,4982,4970,24
70,4978,4969,24
80,4973,4968,24
90,4944,4955,24
99,4944,4954,24
